City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,polyarnyy,69.1989,33.4478,-4.23,82,100,10.35,RU,1700749547
119,ishim,56.1128,69.4902,0.02,93,100,7.6,RU,1700749548
120,imbituba,-28.24,-48.6703,21.02,96,100,4.84,BR,1700749548
121,ribeira grande,38.5167,-28.7,20.22,88,40,4.92,PT,1700749548
122,parral,26.9333,-105.6667,4.49,73,0,1.78,MX,1700749548
123,alice springs,-23.7,133.8833,21.75,49,30,2.06,AU,1700749548
124,tazovsky,67.4667,78.7,-17.65,90,77,8.12,RU,1700749386
125,kuta,-8.7233,115.1723,28.97,83,75,2.68,ID,1700749548
126,guarapari,-20.6667,-40.4975,32.16,46,93,6.34,BR,1700749548
127,weno,7.4515,151.8468,27.97,83,75,2.06,FM,1700749548
128,siwa oasis,29.2041,25.5195,23.73,25,0,0.83,EG,1700749548
129,fale old settlement,-9.3852,-171.2468,28.37,78,95,3.43,TK,1700749549
130,leticia,-4.2153,-69.9406,30.03,74,20,2.57,CO,1700749549
131,kyelang,32.5833,77.0333,-5.71,78,20,1.45,IN,1700749549
132,sur,22.5667,59.5289,26.47,58,0,4.57,OM,1700749549
133,hammerfest,70.6634,23.6821,-7.75,73,75,4.63,NO,1700749549
134,usinsk,65.9939,57.5281,-12.18,92,100,2.68,RU,1700749549
135,umm kaddadah,13.6017,26.6876,34.41,17,17,4.57,SD,1700749549
136,hawaiian paradise park,19.5933,-154.9731,21.13,95,75,2.57,US,1700749549
137,queenstown,-31.8976,26.8753,38.02,10,14,6.99,ZA,1700749549
138,piti village,13.4626,144.6933,28.49,82,0,4.63,GU,1700749549
139,colonia,50.9333,6.95,12.68,80,100,7.72,DE,1700749550
140,tinghir,31.5157,-5.5343,11.88,44,12,3.58,MA,1700749550
141,selkirk,50.1436,-96.8845,-11.96,54,3,6.58,CA,1700749550
142,arraial do cabo,-22.9661,-42.0278,29.98,65,0,4.63,BR,1700749550
143,geraldton,-28.7667,114.6,22.23,78,100,1.54,AU,1700749550
